scenario,scenario_title,method,path_found,energy_feasible,task_success,battery_capacity,energy_margin,path_length,total_cost,energy,terrain_risk,shadow_ratio,comm_blackout_ratio,avg_slope,train_scenario,test_scenario,train_seed,test_seed
baseline,Base Plain With Sparse Rocks Unseen Seed,DQN unseen-map,1,1,1,90.0,0.997456026157451,52.25483399593903,131.3167165783317,89.00254397384255,6.55868896951103,0.125,0.575,0.16396722423777574,baseline,baseline,101,9101
baseline,Base Plain With Sparse Rocks Unseen Seed,PPO unseen-map,1,1,1,90.0,0.997456026157451,52.25483399593903,131.3167165783317,89.00254397384255,6.55868896951103,0.125,0.575,0.16396722423777574,baseline,baseline,101,9101
crater_field,Dense Crater Field Unseen Seed,DQN unseen-map,1,1,1,90.0,2.6587529427270624,55.42640687119285,193.15228208100035,87.34124705727294,28.787725782301628,0.0,1.0,0.2485846768704917,crater_field,crater_field,202,9202
crater_field,Dense Crater Field Unseen Seed,PPO unseen-map,1,1,1,90.0,2.6587529427270624,55.42640687119285,193.15228208100035,87.34124705727294,28.787725782301628,0.0,1.0,0.2485846768704917,crater_field,crater_field,202,9202
slope_ridges,Highland Ridges And Slopes Unseen Seed,DQN unseen-map,0,1,0,92.0,1.824015833030856,52.94112549695427,141.18393660814812,90.17598416696914,7.6182438255632405,0.045454545454545456,0.6818181818181818,0.1731419051264373,slope_ridges,slope_ridges,303,9303
slope_ridges,Highland Ridges And Slopes Unseen Seed,PPO unseen-map,0,1,0,92.0,1.824015833030856,52.94112549695427,141.18393660814812,90.17598416696914,7.6182438255632405,0.045454545454545456,0.6818181818181818,0.1731419051264373,slope_ridges,slope_ridges,303,9303
shadow_comm,Polar Shadow And Communication Gaps Unseen Seed,DQN unseen-map,0,1,0,118.0,0.2174114366476374,51.59797974644667,201.18349152687532,117.78258856335236,19.38877227247836,0.024390243902439025,1.0,0.22411639688971613,shadow_comm,shadow_comm,404,9404
shadow_comm,Polar Shadow And Communication Gaps Unseen Seed,PPO unseen-map,0,1,0,118.0,0.2174114366476374,51.59797974644667,201.18349152687532,117.78258856335236,19.38877227247836,0.024390243902439025,1.0,0.22411639688971613,shadow_comm,shadow_comm,404,9404
complex_moon,Integrated Lunar Industrial Terrain Unseen Seed,DQN unseen-map,1,1,1,108.0,11.39096334185254,51.66904755831213,163.3014448473029,96.60903665814746,11.278658395092188,0.0,1.0,0.15842713833569708,complex_moon,complex_moon,505,9505
complex_moon,Integrated Lunar Industrial Terrain Unseen Seed,PPO unseen-map,1,1,1,108.0,11.39096334185254,51.66904755831213,163.3014448473029,96.60903665814746,11.278658395092188,0.0,1.0,0.15842713833569708,complex_moon,complex_moon,505,9505
low_battery_bad_case,Low Battery Bad Case Unseen Seed,DQN unseen-map,0,1,0,112.0,0.09387913147106985,56.94112549695427,198.039230271008,111.90612086852893,17.47069690273795,0.0,1.0,0.1691811854737073,low_battery_bad_case,low_battery_bad_case,606,9606
low_battery_bad_case,Low Battery Bad Case Unseen Seed,PPO unseen-map,0,1,0,112.0,0.09387913147106985,56.94112549695427,198.039230271008,111.90612086852893,17.47069690273795,0.0,1.0,0.1691811854737073,low_battery_bad_case,low_battery_bad_case,606,9606
